  XX        YY
  1.000000  0.000000
  0.999754  0.000041
  0.999017  0.000165
  0.997788  0.000371
  0.996070  0.000659
  0.993864  0.001027
  0.991172  0.001475
  0.987997  0.002002
  0.984341  0.002607
  0.980210  0.003287
  0.975606  0.004041
  0.970533  0.004867
  0.964998  0.005764
  0.959006  0.006729
  0.952562  0.007759
  0.945672  0.008852
  0.938344  0.010007
  0.930585  0.011219
  0.922402  0.012487
  0.913803  0.013807
  0.904797  0.015177
  0.895393  0.016593
  0.885599  0.018054
  0.875426  0.019555
  0.864884  0.021094
  0.853983  0.022668
  0.842733  0.024273
  0.831145  0.025907
  0.819232  0.027567
  0.807005  0.029249
  0.794476  0.030950
  0.781656  0.032667
  0.768560  0.034397
  0.755199  0.036136
  0.741587  0.037882
  0.727737  0.039631
  0.713663  0.041380
  0.699379  0.043125
  0.684899  0.044864
  0.670237  0.046592
  0.655407  0.048306
  0.640424  0.050003
  0.625303  0.051679
  0.610059  0.053331
  0.594706  0.054954
  0.579260  0.056545
  0.563736  0.058101
  0.548150  0.059617
  0.532516  0.061090
  0.516850  0.062516
  0.501167  0.063891
  0.485483  0.065210
  0.469814  0.066471
  0.454173  0.067670
  0.438578  0.068802
  0.423044  0.069864
  0.407584  0.070852
  0.392216  0.071762
  0.376954  0.072592
  0.361812  0.073338
  0.346806  0.073996
  0.331951  0.074564
  0.317261  0.075040
  0.302751  0.075419
  0.288434  0.075700
  0.274326  0.075881
  0.260439  0.075961
  0.246788  0.075936
  0.233386  0.075807
  0.220246  0.075572
  0.207382  0.075230
  0.194768  0.074780
  0.182326  0.074204
  0.170079  0.073475
  0.158057  0.072567
  0.146288  0.071464
  0.134804  0.070149
  0.123635  0.068613
  0.112811  0.066852
  0.102359  0.064865
  0.092309  0.062655
  0.082686  0.060232
  0.073515  0.057608
  0.064820  0.054799
  0.056619  0.051823
  0.048932  0.048702
  0.041774  0.045460
  0.035158  0.042120
  0.029093  0.038708
  0.023589  0.035249
  0.018649  0.031767
  0.014277  0.028288
  0.010473  0.024832
  0.007236  0.021420
  0.004563  0.018072
  0.002449  0.014802
  0.000887  0.011624
 -0.000129  0.008549
 -0.000609  0.005585
 -0.000562  0.002734
  0.000000  0.000000
  0.001056 -0.002584
  0.002582 -0.004986
  0.004567 -0.007211
  0.006998 -0.009269
  0.009863 -0.011167
  0.013150 -0.012918
  0.016847 -0.014532
  0.020944 -0.016024
  0.025430 -0.017406
  0.030295 -0.018693
  0.035530 -0.019899
  0.041130 -0.021037
  0.047088 -0.022123
  0.053399 -0.023168
  0.060061 -0.024186
  0.067074 -0.025188
  0.074438 -0.026184
  0.082157 -0.027183
  0.090233 -0.028194
  0.098674 -0.029222
  0.107486 -0.030273
  0.116676 -0.031347
  0.126253 -0.032446
  0.136227 -0.033565
  0.146605 -0.034701
  0.157396 -0.035844
  0.168609 -0.036980
  0.180250 -0.038094
  0.192325 -0.039165
  0.204833 -0.040166
  0.217670 -0.041075
  0.230787 -0.041890
  0.244170 -0.042611
  0.257807 -0.043238
  0.271684 -0.043772
  0.285786 -0.044214
  0.300101 -0.044564
  0.314614 -0.044826
  0.329311 -0.045000
  0.344177 -0.045088
  0.359197 -0.045093
  0.374356 -0.045016
  0.389641 -0.044861
  0.405034 -0.044630
  0.420522 -0.044325
  0.436088 -0.043950
  0.451718 -0.043508
  0.467396 -0.043001
  0.483106 -0.042433
  0.498833 -0.041807
  0.514561 -0.041126
  0.530275 -0.040393
  0.545958 -0.039612
  0.561597 -0.038785
  0.577174 -0.037916
  0.592675 -0.037008
  0.608085 -0.036064
  0.623387 -0.035087
  0.638567 -0.034080
  0.653610 -0.033046
  0.668501 -0.031989
  0.683226 -0.030909
  0.697769 -0.029812
  0.712116 -0.028699
  0.726253 -0.027573
  0.740167 -0.026437
  0.753842 -0.025294
  0.767267 -0.024146
  0.780427 -0.022996
  0.793310 -0.021847
  0.805902 -0.020700
  0.818192 -0.019560
  0.830166 -0.018428
  0.841814 -0.017307
  0.853124 -0.016200
  0.864085 -0.015109
  0.874685 -0.014036
  0.884914 -0.012986
  0.894762 -0.011959
  0.904220 -0.010959
  0.913278 -0.009988
  0.921926 -0.009049
  0.930157 -0.008144
  0.937963 -0.007275
  0.945334 -0.006445
  0.952265 -0.005657
  0.958749 -0.004912
  0.964778 -0.004213
  0.970347 -0.003562
  0.975451 -0.002960
  0.980084 -0.002410
  0.984242 -0.001913
  0.987920 -0.001470
  0.991115 -0.001084
  0.993824 -0.000755
  0.996045 -0.000484
  0.997774 -0.000273
  0.999010 -0.000121
  0.999752 -0.000030
